ELECCION_ID,ELECCION,COD_DEPTO,DEPARTAMENTO,MUNICIPIO_ID,COD_MUNIC,MUNICIPIO,COD_CENTRO,CENTRO,JRV_ID,SOBRANTES,INUTILIZADAS,FMLN,GANA,VAMOS,ARENA,PCN,PDC,DS,ARENA_PCN_PDC_DS,TOTAL_ARENA_PCN_PDC_DS,IMPUGNADOS,NULOS,ABSTENCIONES,FALTANTES,VOTOS_VALIDOS,OTROS_VOTOS,VV_MAS_OTROS,TOTALES
1,PRESIDENCIAL,1,SAN SALVADOR,1,1,SAN SALVADOR,1,INSTITUTO NACIONAL DE LOS DEPORTES,1,248,0,39,181,6,119,2,0,2,1,124,0,2,0,0,350,2,352,600
1,PRESIDENCIAL,1,SAN SALVADOR,1,1,SAN SALVADOR,1,INSTITUTO NACIONAL DE LOS DEPORTES,2,268,0,38,203,3,77,1,0,0,7,85,0,3,0,0,329,3,332,600
1,PRESIDENCIAL,1,SAN SALVADOR,1,1,SAN SALVADOR,1,INSTITUTO NACIONAL DE LOS DEPORTES,3,250,0,29,192,6,105,0,1,0,11,117,0,5,1,0,344,6,350,600
1,PRESIDENCIAL,1,SAN SALVADOR,1,1,SAN SALVADOR,1,INSTITUTO NACIONAL DE LOS DEPORTES,4,249,0,32,204,2,106,0,2,0,2,110,0,3,0,0,348,3,351,600
1,PRESIDENCIAL,1,SAN SALVADOR,1,1,SAN SALVADOR,1,INSTITUTO NACIONAL DE LOS DEPORTES,5,232,0,43,208,2,106,1,0,1,3,111,0,4,0,0,364,4,368,600
1,PRESIDENCIAL,1,SAN SALVADOR,1,1,SAN SALVADOR,1,INSTITUTO NACIONAL DE LOS DEPORTES,6,235,1,31,222,6,96,1,0,1,5,103,0,2,0,0,362,2,364,600
1,PRESIDENCIAL,1,SAN SALVADOR,1,1,SAN SALVADOR,1,INSTITUTO NACIONAL DE LOS DEPORTES,7,264,0,32,196,3,98,0,0,0,6,104,0,1,0,0,335,1,336,600
1,PRESIDENCIAL,1,SAN SALVADOR,1,1,SAN SALVADOR,1,INSTITUTO NACIONAL DE LOS DEPORTES,8,269,0,31,202,2,86,1,0,0,9,96,0,0,0,0,331,0,331,600
1,PRESIDENCIAL,1,SAN SALVADOR,1,1,SAN SALVADOR,1,INSTITUTO NACIONAL DE LOS DEPORTES,9,480,0,10,79,0,27,0,0,0,3,30,0,1,0,0,119,1,120,600
1,PRESIDENCIAL,1,SAN SALVADOR,1,1,SAN SALVADOR,2,ESCUELA SALESIANA DOMINGO SAVIO,10,255,0,38,173,3,119,1,3,1,6,130,0,0,1,0,344,1,345,600
